10000 50000
11 7197 239
1179 7828 328
5545 8145 155
6153 6308 209
1250 3598 301
817 37 910
8445 3221 286
8220 9095 185
9122 4878 174
7716 883 787
7305 9157 795
6310 5354 736
3844 8696 412
9633 8988 536
2206 1715 16
8011 7878 557
6917 143 146
4600 4636 999
9867 6791 403
698 9343 713
4041 1084 10
2197 27 928
2429 930 630
7588 3195 590
6114 4773 448
1873 5045 294
5112 3542 813
5782 8894 477
5606 6842 663
6995 9641 550
187 3812 599
7309 1823 444
261 2217 429
7858 4074 192
128 7063 168
4714 967 502
6188 8139 931
1761 6247 355
1051 7322 414
4670 5114 430
1918 7647 162
619 9507 429
5317 4583 748
6304 294 57
644 6396 573
456 1085 602
2611 4481 682
3868 9249 659
9107 3613 585
9488 380 706
5153 8453 479
6219 8851 255
4503 7146 346
3399 8940 624
1192 4351 534
4829 9639 410
2621 9366 346
1828 9549 600
1749 5427 964
263 1156 357
5302 3695 303
9618 3894 847
8671 3072 376
8882 8400 560
2792 8948 563
3333 8731 126
2380 844 263
1998 8133 178
3032 634 693
2247 1178 200
4595 5285 27
6983 8118 783
3024 8737 998
967 9511 344
2598 4902 7
3890 4478 128
1619 6337 442
6117 8163 897
4858 6946 355
8521 5445 211
9262 7193 827
8609 4088 797
5527 7544 854
2714 35 379
1566 6835 323
2237 265 414
6099 2001 522
1082 8577 282
884 4403 515
33 8960 126
2246 9624 686
2066 1439 401
9709 9865 38
1060 1643 249
8566 6559 153
5255 7272 52
3755 9081 519
8619 1587 86
6275 5228 794
137 7105 713
8641 8178 34
9621 7371 273
7728 2675 184
7681 6635 224
3783 5682 441
8699 7081 492
3722 827 139
1466 2544 208
7997 2942 584
9152 3311 39
8377 8875 503
183 3088 160
1069 1273 949
8492 6900 966
6104 7907 288
5504 3851 723
9819 217 4
5605 6962 228
4904 503 673
3631 8979 686
318 3768 904
7643 7052 863
1995 601 507
2530 4150 303
2961 3617 862
3324 9639 444
9660 6922 730
6180 7914 305
274 3141 858
6509 5264 172
6678 9722 882
9723 3042 41
4314 1580 389
8181 1486 252
1656 9302 729
7415 7555 927
9801 6833 549
973 2491 974
3521 1285 562
6965 6342 58
1626 9150 132
6588 6521 74
2438 8590 397
6403 7443 721
2985 673 64
9282 6695 588
3510 5079 424
4633 7706 653
1627 7381 193
415 4698 522
7860 1199 26
3895 7151 309
1403 699 654
6512 2647 380
2157 7850 543
9257 990 899
397 7817 512
1213 6101 551
0 7425 139
7149 7919 293
4886 7805 315
2474 730 690
1920 1925 564
4634 615 316
3123 6209 470
3979 6180 718
7867 3366 731
1664 4752 898
7593 7088 366
2337 1156 270
7444 8829 876
4811 2371 981
513 2838 784
5802 187 182
1899 603 821
3077 9213 881
6825 1492 583
1 5458 788
1067 3627 922
3649 3844 930
6656 8930 959
1694 3149 368
2908 869 414
3787 5669 254
5646 8451 821
7700 6725 459
2743 2665 610
159 7952 208
1224 5424 481
4781 9015 262
7727 3738 659
8026 6905 331
8350 1732 314
6597 5170 441
2262 8583 947
4028 3487 31
7621 9622 671
5481 4024 582
9898 2408 310
5367 4356 332
3781 4593 992
9309 295 573
5502 3401 813
3154 1150 312
7077 2827 999
5018 1525 802
5441 6714 307
503 4565 497
60 7568 94
9995 8438 205
6501 8388 119
2153 7342 630
3171 880 454
894 3913 158
7647 3944 486
3571 3799 608
2869 9212 691
8189 7409 1
6288 2148 334
6659 8315 195
1486 8626 211
7926 9359 641
794 4553 598
1715 9204 427
9138 1410 589
5184 388 278
8449 5978 679
2112 254 695
4125 8859 522
7267 6929 915
2403 3152 276
7165 2632 190
9452 3327 490
1799 5264 578
5632 695 163
3470 5732 570
6458 9737 566
3929 8089 120
76 826 62
5390 2469 322
7462 7851 711
3895 5483 297
445 8354 114
8824 1608 207
463 1221 345
1037 7637 814
9431 7644 788
1761 5608 938
8883 8374 602
985 3800 606
7548 9227 312
9999 5642 914
9333 606 975
7865 2763 169
3562 4505 727
1414 8058 794
3507 8700 922
3373 7913 316
5945 5130 749
6011 2509 566
7035 5608 917
3172 7521 122
460 7802 249
1135 1612 454
7581 2312 637
7796 5791 135
2891 3987 730
769 9892 520
9594 2591 782
2342 1110 314
6534 9249 139
4682 8828 142
6065 568 785
9366 4965 896
4172 2550 770
42 1069 199
7250 8030 142
3718 9179 109
8833 2435 500
1866 545 826
4050 8751 104
6106 7792 112
2640 1987 323
9064 5306 550
8898 2352 554
1265 3500 934
4155 1394 523
9082 7534 143
8329 7047 186
7151 1652 527
8084 7260 150
239 9171 385
6901 3425 884
8611 1129 155
3306 9279 960
1560 1334 213
1449 8243 312
9955 3196 71
5561 7335 966
3908 2832 862
3547 4363 810
546 155 381
3858 9710 749
2388 2616 627
1456 1546 49
3924 6377 791
2139 683 32
7574 539 963
7339 7184 759
8555 9915 209
4854 4502 492
9950 6540 961
6819 7486 801
8281 8701 376
5532 9733 760
7158 4925 290
3410 7624 350
7483 541 432
8002 7561 753
8225 8331 743
6560 4958 194
2197 1049 450
7579 2277 586
1640 5865 771
5053 6214 780
3619 9761 347
1378 3460 11
4755 436 965
8953 1084 408
6120 605 193
495 779 5
1375 7838 595
2507 970 10
7346 8183 220
1613 9619 279
1715 7472 40
9753 1716 306
4326 9367 739
5667 8368 503
4831 6287 794
7350 274 531
584 8638 556
7260 7010 174
7374 6952 969
4773 6213 700
1393 7755 289
5481 1144 357
3726 8221 810
8293 2234 703
4814 8883 96
8233 8445 516
4524 4586 862
8484 2870 210
1115 8601 116
6978 5239 583
6486 5400 753
2979 7782 300
3945 3070 507
359 292 365
3102 1816 403
9550 3580 181
2421 2201 19
7803 5181 575
236 3484 785
8535 5145 332
3283 5182 488
588 3769 539
5984 2030 698
4772 6076 448
6207 1965 828
3789 4159 358
3982 637 649
8202 9068 363
7209 1972 465
2550 5210 238
6297 7256 344
5015 6029 794
7635 5246 881
7675 6929 976
957 1762 867
7991 1302 28
1610 5376 901
9957 6810 57
633 3973 676
701 5786 485
5468 5185 814
2467 711 3
4885 8622 910
5175 5372 362
9249 8572 869
7092 6344 843
2385 926 188
7076 1709 100
3674 4179 503
3038 3245 211
6671 4615 259
4529 4143 475
6961 5536 676
7002 2881 540
2010 2866 325
9606 2968 780
4619 8005 157
7977 7444 796
1611 345 920
8317 8637 460
1646 5989 38
1922 6735 148
1850 2006 724
7833 503 589
6910 4406 362
6309 6755 7
9929 3322 58
7111 9237 38
6889 8757 450
3504 3702 697
7650 8248 735
9862 6377 327
1293 3436 476
5669 938 549
3640 9245 851
9841 1631 842
2231 6358 187
425 5316 447
7951 3833 330
277 1561 886
8327 4126 74
5987 9202 948
7848 3793 768
6490 2421 320
8511 1411 649
1350 6286 90
7118 5214 61
8674 1394 396
4818 9390 38
4336 9727 232
1294 2184 150
2526 8376 475
8522 2542 118
199 2426 383
4374 690 574
421 4983 613
66 4275 81
4705 5322 423
6954 7355 631
5805 2817 764
9927 2787 652
8166 9585 601
848 1261 617
5920 3394 90
1833 2866 929
7592 6500 653
7949 8248 336
798 6568 304
8123 5297 630
7880 668 959
4842 25 944
5764 970 127
958 4724 300
596 9968 292
1254 8368 264
9324 4486 632
9493 3552 771
9583 9848 752
7325 488 262
8222 1493 738
7747 2461 631
1186 2825 809
6536 789 615
5255 8471 143
6429 8868 673
7326 3365 48
6105 7173 624
2289 8827 349
4865 3574 600
3666 5508 43
9333 900 660
1142 700 999
2113 7626 452
765 2723 905
2386 9043 719
6177 1508 610
6407 5037 757
1442 8419 57
867 6168 763
1034 3809 80
6717 7244 543
6836 3463 24
3316 9023 423
353 4120 709
537 3566 155
1505 3777 623
6893 6312 597
6288 2660 553
3733 2309 698
8320 9043 861
3738 1435 219
2280 635 576
4161 4066 605
5197 8725 598
2382 2647 254
21 8423 277
6830 6341 385
8008 944 245
4989 2438 187
9362 1784 281
8592 3494 826
8350 5765 318
4254 4480 169
3648 1200 768
2393 4831 983
2758 7503 712
811 8071 117
5442 3141 290
4780 8674 721
1394 7248 629
4007 801 618
3636 2971 460
82 6133 120
7893 501 394
3781 6265 632
7854 7704 112
8220 7595 652
2765 6852 785
205 4166 467
3421 8152 564
2474 2638 956
7061 6984 427
4845 6849 60
5829 235 941
9157 586 965
2220 2311 359
3629 1283 42
1922 8403 563
9996 477 24
8977 3919 814
421 4444 918
6082 349 808
5921 4560 779
6751 8370 632
7109 9894 224
1437 7687 888
8557 227 350
430 8923 947
9989 6600 849
2277 9055 836
7828 6051 793
4947 1596 469
496 7385 284
4387 4303 178
7450 896 98
4277 7732 547
6867 4803 214
7776 9128 515
4572 1075 948
9484 3318 575
3652 306 190
5238 3048 747
4861 8606 410
8907 9162 777
8287 8131 998
5311 4870 259
1691 573 464
9167 1257 905
874 5585 344
6465 3587 846
3045 5125 313
6439 8239 133
3982 2758 297
4205 8108 50
5899 3270 286
3403 6323 508
1207 7946 124
7912 3700 109
1955 9792 755
1508 7696 780
6328 4143 856
8031 5864 254
2382 6450 478
8677 4750 353
2131 5870 504
6685 6571 542
1943 2905 18
7010 2727 388
1106 6663 583
5681 580 542
1775 1993 9
6844 9032 332
1225 2655 115
1271 3977 850
3439 2358 119
2282 2804 630
7144 5211 379
7294 3392 795
1564 9510 594
9899 3794 78
770 135 620
3645 5275 788
8684 8057 384
4554 9302 242
9479 2588 8
9747 2264 305
3657 7415 744
5177 2079 52
7949 5811 748
7014 9236 696
3921 6863 867
7312 8208 628
112 8796 443
986 4638 328
169 959 542
1796 3150 492
1002 3021 307
7400 2952 606
4760 1991 424
7437 146 716
3004 8370 106
5437 3143 457
666 1294 746
2217 1291 781
2709 1641 738
1041 6047 982
7580 9548 19
1723 3312 137
6565 1974 712
9998 5675 606
4260 3121 354
7750 6137 922
1426 1351 285
1054 3054 16
255 8532 335
4734 7866 669
3991 7848 737
8077 2258 182
8258 4684 22
2207 3575 368
6759 49 674
3512 7273 971
9640 5640 99
1526 1308 580
8508 9336 129
8306 9990 953
1913 7861 474
7285 5470 322
7734 9614 381
5664 8801 572
9940 9567 414
1570 7477 780
2608 5079 770
1073 1301 376
4938 3542 255
366 961 602
1685 5113 416
1157 9764 509
4839 8891 155
471 5478 457
9653 5141 681
8245 4165 766
6236 2683 48
82 8263 150
7912 2741 430
5018 5587 715
9200 6952 436
6790 2160 162
1503 3220 756
607 8123 795
3004 7819 45
6225 243 413
2921 3268 39
7527 4496 36
3570 3968 913
8892 9328 859
1530 4016 681
6885 4651 388
3361 1337 547
3182 9774 272
8718 8716 916
5098 650 389
3391 8069 114
2455 6292 549
2002 319 614
7106 4360 615
380 8597 893
292 8559 342
6115 4403 562
3905 7630 572
3554 2171 120
362 4513 155
4286 5122 143
4180 7294 260
81 2606 320
4107 9641 115
2414 7385 216
660 1363 244
3274 8109 29
1615 2653 646
9295 760 97
3653 7524 310
6381 3156 322
8706 1258 710
4575 5273 742
6470 1332 504
4625 7215 482
1600 5336 479
8416 7120 64
925 9640 3
2553 8895 562
8282 5927 724
7017 4046 970
7877 8011 285
1886 3228 404
9243 311 372
6280 340 529
7359 2678 348
1222 9274 266
8714 83 310
6254 6270 429
8959 9135 842
5513 2230 799
8375 7781 685
369 6882 371
4906 4569 852
7639 9195 246
3132 2740 357
6007 2165 343
7284 206 195
7014 7427 824
6423 934 210
2371 5751 374
9619 87 266
3652 5917 115
4752 1155 892
1070 2 677
6175 9733 721
9572 9 63
8925 8624 684
2649 5022 392
4599 1910 99
5628 512 826
2806 872 783
426 8910 315
8366 9493 149
8232 3021 468
4461 1689 576
278 2079 485
9991 7599 359
3199 2828 869
5875 8153 118
6629 6700 663
5745 1693 263
2954 6366 103
7122 2987 940
5229 2460 911
3325 5420 607
8094 9940 76
1064 8627 505
8393 9048 628
7985 5681 574
9070 3655 56
7701 6370 515
6828 2175 306
40 4693 243
1079 521 86
5775 6860 654
9142 3564 43
8711 2980 858
2839 5608 461
3526 1710 95
3791 7393 236
3296 8899 663
509 5838 573
413 440 102
5986 1513 223
4757 7872 470
4906 5653 425
8123 6526 712
312 1447 536
8515 7336 59
2626 1574 695
4089 8027 240
2090 2738 762
1921 269 694
3899 960 247
2001 9436 599
9049 7641 587
2186 9751 824
7722 7665 475
2535 7198 721
7727 2930 458
947 177 791
6892 8874 233
6722 737 367
6709 6123 843
5259 9542 602
9864 8912 809
1810 4704 139
493 4602 39
9544 7895 56
917 4793 976
7199 6565 19
6600 3673 280
3216 374 524
1889 7937 199
2921 2640 446
318 7667 759
8506 8554 457
1537 7421 199
1199 2267 323
9845 7698 415
1960 4269 365
2012 121 558
568 7890 375
2364 5296 256
1665 6963 357
8405 3308 965
8633 8126 161
3114 9171 41
6017 6762 583
8346 3062 640
2586 6692 690
65 5486 657
8445 2581 278
2936 8532 828
7647 336 394
4717 4929 906
1437 1980 671
9821 1767 194
8449 5473 696
5750 3473 293
8490 4728 152
720 4966 729
9499 1558 851
9970 4011 682
5057 3754 873
6298 66 617
4639 9357 526
5213 6526 965
5866 7259 832
3116 4444 422
8320 3742 73
3472 7130 726
7602 9445 426
6147 9532 483
9725 3429 659
5253 2356 328
8028 1002 960
4414 2741 117
8657 9996 857
5641 2485 180
3191 6545 909
8796 9859 823
8174 9546 587
4608 9431 38
9733 8137 318
7458 2562 478
7495 8591 260
1542 31 651
8714 3450 685
8212 4793 266
6531 7158 96
590 9064 549
5107 42 538
3607 1563 429
210 3608 848
7193 9870 355
6405 2102 526
7713 5255 668
9997 3535 775
6350 6868 859
9536 4033 152
8497 9662 903
9422 3102 313
1233 4403 8
4127 435 385
8968 6166 400
8482 7760 580
2878 8126 240
8236 4028 20
8837 9269 5
1061 1464 326
5321 1292 527
7619 9748 208
2943 2076 586
6708 9464 788
83 9185 323
6899 7113 760
6509 322 559
5584 244 933
8513 5226 980
1986 8009 483
5038 7486 681
699 5775 60
6959 864 746
9667 5884 656
8622 5442 863
4687 5031 516
9479 8771 584
9120 4205 999
2395 1333 468
7092 4323 834
9741 635 210
5841 9168 183
9410 8384 703
6988 7391 979
2207 1078 934
1400 6295 343
5468 4978 935
3983 4733 425
5795 9819 140
3288 1873 823
6660 3507 982
6038 1481 399
1616 6856 317
9818 9770 622
4374 626 761
2572 5573 342
3734 5629 941
5786 6955 865
240 7044 312
4881 9633 827
9770 3355 731
3961 1010 47
9849 1128 574
3500 3319 600
6658 6718 531
6286 5287 59
2839 4855 908
6295 6016 331
3652 8945 961
8339 5578 703
7659 8253 709
4945 3187 640
1064 8696 711
8011 3187 348
9133 1226 373
8304 3567 692
113 5752 792
5384 234 286
9863 6872 295
2637 8758 103
6874 6852 290
7506 8600 664
4605 5160 287
9609 5794 969
7041 3557 637
6154 8736 110
7489 4459 373
9389 7077 814
9390 421 851
6936 3707 337
6358 727 256
2196 8458 651
1548 369 463
3332 8815 283
774 3180 213
1313 7188 191
6125 7119 331
1272 5052 927
6839 9092 410
1090 5836 67
2541 7400 307
9271 1493 20
4100 554 40
277 9635 930
3272 1504 779
2812 838 817
5714 275 863
7801 9973 327
6958 8734 94
9719 16 631
1137 695 492
6739 4046 665
6446 3555 627
2753 4456 934
5692 470 690
1418 9662 486
7581 2140 402
5969 2511 635
7613 9473 77
1306 5022 465
4287 5148 603
6272 721 120
8676 5476 733
8373 5051 49
4733 7317 65
5997 9298 265
1491 9606 741
7491 4344 83
2856 6178 467
4955 4899 546
2001 7187 55
3394 2521 915
658 2750 703
577 59 703
1439 9336 900
8463 4386 771
2270 141 782
860 4248 382
5812 6260 46
4120 2646 653
5058 4967 497
7032 2108 313
4555 6964 614
5292 8386 673
6186 2803 649
7243 8785 211
4699 7731 720
9491 2888 410
1043 6355 481
1851 9778 827
7442 1316 378
8302 6725 705
5710 1378 543
9162 8585 286
3544 4929 84
2536 3723 74
4911 4092 499
9571 1008 918
1412 6866 860
3675 8469 876
2015 436 208
2375 2361 143
385 6685 37
8994 6125 603
7802 8874 99
4298 7912 545
6263 6436 109
9054 2681 486
3256 7611 618
9883 2074 107
7256 8546 233
5667 3861 882
923 7770 141
8149 7373 76
7321 6943 851
233 5511 887
8982 3470 226
606 1113 317
9557 3447 125
8830 1262 722
6010 6077 844
1763 6213 38
7903 1332 352
2455 2505 140
8331 8171 165
8725 6347 688
1287 8781 567
8393 2817 715
8415 1530 991
353 4549 433
7023 8746 768
6621 5510 486
7690 7274 11
364 4007 624
4470 5579 258
8437 7805 183
8935 4356 99
7694 695 268
4597 6611 309
777 2514 68
7138 2467 893
7336 5286 98
8768 145 257
6793 1434 823
6422 435 270
3621 4113 86
3504 432 372
3544 2 782
4934 1949 117
2469 4972 734
7566 8746 600
1738 2057 124
6334 8049 530
5106 6774 100
6546 8331 741
5733 5522 614
9682 2639 229
3933 486 396
4540 7044 752
2198 714 953
4675 9589 542
2025 5154 6
4425 737 134
5158 3168 271
7657 2268 112
3371 1711 620
4924 9200 292
7090 8471 216
8005 5374 418
7256 1948 81
9162 7338 273
4471 2341 457
1412 6203 952
4136 5702 941
4563 4726 526
7888 4313 879
9575 7959 229
6443 7629 973
7904 4018 467
5643 9765 434
3582 1184 568
8459 8837 158
8294 953 167
1741 3842 157
3245 2863 735
8369 5030 567
9306 3529 589
1515 5375 125
1209 8954 261
7698 2772 963
1044 5948 238
3020 7364 179
1503 4312 569
408 6804 747
4647 247 911
8011 4536 153
1392 6681 428
140 5311 956
4131 7144 575
661 326 700
6502 7511 352
3545 1426 251
6546 457 757
7336 5450 267
4615 2312 726
6551 4487 479
9816 335 864
684 9580 824
5005 7681 108
2590 4004 743
4149 3441 450
8940 6964 71
5201 8683 126
4541 5496 270
1164 3838 399
5347 8062 891
3188 3331 99
700 5244 982
3884 7986 375
4522 8271 490
3066 6309 519
8075 7821 631
8442 21 518
7468 1868 616
3890 331 657
4821 5642 812
8521 9275 800
9563 1531 314
2278 5105 221
6234 7377 589
9185 3334 782
5046 5329 244
4277 2476 588
7082 53 133
5489 3320 871
803 8283 128
809 1436 893
8793 4196 865
8877 7862 954
6806 1597 906
3919 5023 743
2739 8191 923
8660 1428 480
6033 8089 999
1320 8645 150
4419 954 165
1748 7939 421
4561 7057 547
8987 3800 440
3107 5955 805
8327 5435 838
6085 9651 612
2397 823 709
7625 1061 354
5933 8693 90
6251 30 547
5098 8156 894
4122 9869 858
8301 9423 713
2004 8111 741
3278 4599 220
4223 9637 109
44 3952 837
6326 3527 341
2115 3243 616
3803 8001 282
610 6984 700
6811 7507 871
6883 2662 803
6435 609 607
8295 8586 393
7058 2758 938
9627 4881 227
9627 5409 47
7893 1333 124
6752 8092 366
8277 5769 751
5454 1150 376
6775 5808 584
5465 9493 702
9508 9027 921
7489 9757 608
3964 1301 235
5311 22 654
5334 3290 959
7712 9473 800
179 7962 279
1010 4556 123
9931 9161 607
9033 273 992
360 1870 288
7000 6838 382
479 6752 163
8892 7141 777
6463 1529 983
6933 7884 14
1987 7748 165
6683 4042 16
6515 9185 562
6130 8321 611
8184 404 926
6092 9389 242
3391 4466 915
4476 2668 531
8551 3777 847
3937 4675 206
9492 1051 381
1641 49 264
3873 747 314
3350 8964 788
2135 8383 793
4369 5940 397
8433 6257 488
9410 7569 448
6057 7337 437
497 5809 920
1753 3630 366
4588 5902 122
2660 2517 235
5545 3946 683
8259 4369 727
9620 8874 438
9849 7961 361
2697 4824 878
8095 5297 84
1050 7505 829
1385 6990 746
9384 2730 783
9052 5073 358
5762 3449 445
8670 8984 155
3187 9111 771
3712 7447 688
3923 6201 997
3734 9924 51
2826 6669 426
2462 1238 938
8513 5062 31
4503 2144 17
2044 406 720
1096 6437 616
3162 3929 303
4255 6226 31
9125 2592 992
8607 3504 790
7899 9222 963
8602 9972 151
8898 5090 478
21 883 391
1030 7949 500
6261 7808 302
2169 9665 463
2148 5390 59
3979 1697 151
7172 8730 565
3079 2424 82
2095 3177 157
1175 9126 649
1181 9849 938
9395 7349 719
5336 5165 516
9746 2729 73
7278 7617 799
3694 5229 876
6702 3029 464
1716 8819 179
5437 252 847
8850 6260 676
8580 4461 714
3013 6535 211
7719 9589 451
4117 4090 900
7825 2774 268
9377 3998 563
2175 1914 560
4595 7386 39
4124 6076 936
8372 6813 510
5633 3270 482
5231 2111 686
9522 229 663
8401 6323 391
2704 2968 648
3291 409 238
8429 1444 376
6257 8471 556
5535 1943 970
5209 1574 388
4959 5487 145
661 6688 157
7323 9166 838
9481 6202 185
5578 4616 752
354 7346 133
7432 7361 622
4117 2233 888
2176 5213 600
9748 1235 627
371 956 674
4759 23 19
2868 3828 671
9002 8823 222
6383 8742 999
2932 852 255
306 4634 287
4217 9477 220
7425 9147 240
708 3600 652
3334 4472 512
3980 6342 221
3684 5097 954
438 3355 892
4676 2718 831
1804 3009 421
7552 3748 323
2618 7740 92
7882 6040 853
2726 3408 633
6595 5918 352
1821 1412 132
210 9661 256
875 8693 804
124 3542 144
1411 8172 439
2547 9311 285
1401 7872 904
2804 5141 19
2048 8622 334
1974 6672 722
9678 2788 415
9320 4165 828
3513 4014 859
9754 5149 679
6353 4643 875
4565 8644 988
2796 5210 773
8040 2638 127
819 5238 588
8529 3731 943
4323 1895 546
5996 3382 723
7877 3114 271
8371 195 647
7176 4494 361
8969 8330 611
2025 7469 908
198 9709 322
7173 7395 407
4558 8029 281
8363 1942 242
7566 220 407
752 2734 695
1699 5802 909
2089 5974 446
4224 6742 360
4158 7596 479
6462 3110 465
8948 8596 11
4622 6895 446
4607 3999 468
7415 8652 963
5478 3499 733
2746 2608 64
5767 5368 284
6857 4875 681
1534 9978 270
7001 8470 707
3814 4425 861
4351 3896 660
9089 6168 979
957 1615 36
5312 1164 142
7435 2652 55
5911 8997 361
1672 2957 705
9175 8961 545
6105 6061 391
6762 2507 315
5602 9222 955
3525 7470 969
9275 4046 645
645 4252 701
3897 9783 285
7362 2475 625
5723 7838 981
6410 1094 546
1717 7900 13
4242 343 635
6569 7110 482
6402 6200 34
1767 4871 9
8364 6150 362
8983 2358 601
9836 2582 513
8833 4848 17
3265 551 441
9808 4802 70
5315 2020 741
7376 5275 744
1093 4143 164
8184 4821 813
5134 8156 362
1748 7741 423
6045 3687 139
8124 581 121
2276 2484 582
7452 2917 404
8916 4814 877
7979 276 80
829 6163 75
3305 228 697
5514 5994 263
5555 5886 116
1023 8177 617
1911 8519 347
2665 8525 825
1104 1459 463
4247 6396 764
4874 8346 685
6703 830 78
6364 8270 649
7157 2545 28
3478 3960 275
4200 5185 135
9098 9890 534
8806 6707 323
6987 6845 273
107 2820 925
6199 4899 349
4508 88 862
3643 4642 597
2667 4587 304
3735 6911 960
9618 7302 252
7508 2922 653
1024 182 74
493 7883 451
8522 4021 596
4850 6563 662
1842 3240 557
4473 4946 512
4340 6935 196
256 4362 845
2834 991 241
4473 3600 40
748 1178 941
1943 7800 8
8591 9929 10
6944 1746 152
6836 6731 830
3959 2514 957
6783 2274 924
9035 7423 143
8933 3752 935
9515 9905 870
5352 8005 534
5678 6366 800
622 9903 314
2893 7906 265
2575 4325 520
4791 3938 722
2371 3092 722
3453 4179 14
1373 7929 162
5351 2770 691
7226 5213 819
6944 2511 126
6189 6151 254
9994 6626 135
4365 1484 390
2697 5809 185
1503 5844 343
8886 9496 367
9930 6136 314
5082 7570 682
568 5970 328
3569 4513 507
3539 6681 499
3664 1531 203
3714 433 576
1532 1159 195
879 5078 588
3079 786 588
2128 5914 88
826 8520 983
1017 9594 339
6547 5677 568
2501 5403 994
8775 1350 28
5810 936 81
5453 7466 988
9978 3782 297
8652 431 385
901 3635 263
5162 7827 98
9457 1195 671
5953 7751 576
8915 881 649
5168 4470 887
4155 4470 388
2700 1778 527
7136 1646 528
5582 3467 693
5256 8572 695
5458 2688 475
5492 660 376
309 2702 459
98 4222 936
9636 8850 350
9247 2298 722
895 4620 23
9012 9759 713
7783 5156 603
3605 5361 187
2178 2068 947
3224 9222 415
8234 9769 172
4146 1681 225
9702 6953 839
2333 3907 756
6841 5464 646
2573 7805 655
3507 6722 422
4577 7250 603
1477 9625 808
1183 7067 522
8164 9431 239
3467 95 676
417 8247 465
9169 8591 990
1171 3413 398
5973 5195 933
9612 8076 652
2760 4691 447
6095 4756 984
1645 1300 751
184 8936 406
6755 4972 247
6478 1202 85
280 2625 561
9868 4551 854
8334 1475 509
3860 7644 316
1608 5627 444
9211 413 796
2591 3265 710
4211 410 344
2490 3055 720
383 2716 389
2708 7175 754
6224 1013 841
8634 6 820
8963 5067 781
2516 2189 496
1298 4295 870
3054 60 769
8616 5852 211
3432 9719 78
9557 4762 403
8077 6000 354
9393 7611 314
49 6482 2
5126 5235 825
8746 5471 610
9422 8668 851
5599 409 738
6638 2516 309
2588 9411 360
5026 5969 381
3767 6875 251
4075 3468 17
3942 7217 612
350 4234 565
1 1576 189
6309 588 764
1631 8949 110
341 7679 969
1348 3773 36
1845 6291 239
7208 5294 889
5084 7169 66
3616 3930 977
7024 9816 881
1214 9158 776
3536 2693 598
7757 6127 838
6785 9562 281
7959 8824 347
1828 866 65
3483 6843 575
9803 6412 742
481 3532 918
9055 956 9
6894 7827 289
7457 1317 232
8794 8005 681
9431 1483 330
1465 4125 560
6985 28 665
3022 3477 36
2370 1047 196
9354 2315 607
7661 771 900
1006 1165 298
5177 9720 896
9221 7550 623
3134 5992 469
8491 2205 167
3051 3549 585
3063 172 949
5380 4017 747
3245 1560 28
769 743 944
5920 6728 942
1397 7810 469
4982 5641 666
3365 6297 629
9977 8161 209
7944 8936 663
4500 4272 434
9694 185 802
961 6198 596
8129 3658 52
9200 915 742
36 846 256
8794 9432 426
3797 4067 939
2002 4639 821
7072 9042 172
9377 970 332
6790 4719 989
8436 6978 352
9719 6831 143
2798 991 111
4894 7111 140
2585 2834 585
1845 9713 783
2569 8423 829
6334 4535 552
5841 6275 737
2364 7165 747
3249 4583 338
3451 4490 519
9236 403 529
4927 2499 826
1625 2237 699
3670 9907 580
1767 2734 924
8070 8559 770
8408 748 225
9662 4522 914
9698 8116 253
264 5672 774
8070 5034 505
8957 6018 842
6264 4524 380
8166 2524 454
5187 8623 305
2557 402 869
572 7267 947
9894 9841 164
2211 3753 497
548 2769 804
4396 2994 508
5288 6841 791
3051 6092 771
9933 1780 723
3657 5310 905
3911 7659 7
2949 1353 986
991 5251 603
4815 4316 513
8268 357 392
930 8158 5
5341 6660 467
8285 2200 71
8678 1492 339
5847 1503 141
6254 1078 30
5444 457 611
5328 2228 409
800 9207 263
3538 6196 174
7870 7172 54
8127 900 23
4389 2953 458
939 1437 31
1153 9975 872
3622 9265 464
811 9101 391
7785 7503 744
1874 6035 450
6094 9230 372
118 6546 948
9613 4582 348
6455 1368 382
3951 2187 217
8461 3966 450
8220 5863 670
3457 7766 677
2226 6129 377
5765 9009 993
1915 6355 385
3330 1271 667
1158 5718 900
4774 9244 539
765 4130 712
627 7875 667
7755 8615 875
9121 6401 345
1384 2602 347
6480 7307 360
3025 802 115
9191 7844 85
7655 9584 568
4474 5669 421
4360 9102 336
5253 6198 665
1807 6586 832
3828 7295 966
345 3530 685
3294 5060 185
3694 3024 641
8987 5360 824
4672 2391 965
7789 297 941
1299 8887 961
93 5082 860
6272 3060 574
4471 681 335
3603 2082 406
7401 8699 833
1262 8304 496
156 55 842
105 571 666
2635 6547 799
5747 4555 430
6409 8400 438
8032 3955 594
640 2150 893
3499 1900 393
6736 5327 757
1265 3343 481
922 7849 487
4369 8208 601
8447 5047 93
5130 9470 917
3845 412 121
8849 2395 521
9569 3759 682
4974 536 161
1920 5409 103
3010 8224 599
6533 9434 408
1310 7270 329
3317 8221 66
8943 6051 500
3524 5113 620
8960 587 417
3064 9342 576
5644 9455 995
3157 4298 255
9962 221 228
9433 5041 820
3070 7782 184
968 4162 229
4937 3818 337
3117 4992 17
8110 9311 168
3753 4094 391
5898 5710 632
4541 2507 79
1472 9177 118
6694 2467 414
5610 394 858
8056 7800 526
6087 2377 206
9539 7403 988
3526 743 235
